comunidad_autor,comentarios,score_promedio
0,156,-0.2532051282051282
1,49,0.01020408163265306
3,43,0.05813953488372093
2,36,0.4722222222222222
4,28,0.17857142857142858
5,15,0.13333333333333333
6,8,0.0
7,8,-0.25
