node_id,tipo,etiqueta,grado,grado_ponderado,canal,categoria,visualizaciones,handle
v:BLc_KXPng9g,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,0,0,Gobierno de la República de Guatemala,Entertainment,720,
v:BUNeDEi0yVU,video,CIV LICITACIÓN 800 KM 110717,0,0,CIV -Ministerio de Comunicaciones,People & Blogs,26,
v:BW41jT3t3oI,video,Provial,0,0,PROVIAL-CIV,People & Blogs,79,
v:BbAeamItalk,video,ZARAGOZA DA UN PASO HACIA EL FORTALECIMIENTO DEL DEPORTE CON NUEVA CIUDAD DEPORTIVA,0,0,IDocumenta,News & Politics,7,
v:Bdn2nxDqQ90,video,Video Viral de PMT / GUATEMALA,0,0,carlos del cid,Film & Animation,2482,
v:Bi34XvRV6AM,video,Plan de Evacuación CONRED,0,0,MESCOGT,People & Blogs,58,
v:BnZFUzpEDe4,video,Municipalidad de Guatemala se moderniza,0,0,Municipalidad de Guatemala,People & Blogs,642,
v:Boj5GILjbI0,video,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 2",0,0,CIV -Ministerio de Comunicaciones,People & Blogs,26,
v:Bp4LtQT8Hk0,video,"Ciudad de Guatemala, el mejor lugar para vivir",0,0,Municipalidad de Guatemala,Entertainment,4265,
v:C5hJmAhpMMQ,video,"YOUTUBE PUNTO DE ENFOQUE MARIO MEJÍA, SUBDIRECTOR DE INSIVUMEH",0,0,INSIVUMEH,Science & Technology,79,
v:C8wk4HWwWyM,video,Duro golpe al crimen organizado en Granja Penal de Pavón.,0,0,Gobierno de la República de Guatemala,Entertainment,2214,
v:CDg6kLRfiqQ,video,Acciones relevantes en el #Resumen24Horas,0,0,PNCdeGuatemala,Science & Technology,11048,
v:CJQ46Hr4HcU,video,Municipalidad de Guatemala  19/12/2025,0,0,Concejales de Oposición - Muni Guate,People & Blogs,222,
v:D3fRGjqHeHI,video,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 1",0,0,CIV -Ministerio de Comunicaciones,People & Blogs,23,
v:D4CEpAfkkPI,video,Policías arremeten contra agente de PMT en zona 10,0,0,PrensaLibreOficial,News & Politics,79044,
v:DBvMeKT4gzo,video,La Familia MÁS RICA de GUATEMALA… Ni la Guerra les Quitó el Trono y Hoy son DUEÑOS de tu CERVEZA,0,0,Fortuna Latina,People & Blogs,58881,
v:DC1_qrLUvHI,video,Municipalidad de Guatemala 26/08/2026,0,0,Concejales de Oposición - Muni Guate,People & Blogs,49,
v:DMAKF8n0XJs,video,Guatemala TV • ID (2024-2026),0,0,Mdpls²,Film & Animation,367,
v:DX5eT-hVU8Q,video,250 años Ciudad de Guatemala,0,0,Municipalidad de Guatemala,News & Politics,491,
v:DkxSkQipYwo,video,PRESIDENTE BERNARDO ARÉVALO PARTICIPA EN EL ACTO CONMEMORATIVO DEL DÍA DEL EJÉRCITO,0,0,IDocumenta,News & Politics,66,
v:EGfy1BxGLIk,video,Colabore con las medidas de la PMT,0,0,Municipalidad de Guatemala,Education,1437,
v:ELhvo8YnYnI,video,Insivumeh prevé lluvias fuertes por dos ondas del este,0,0,TN23 Guatemala,News & Politics,5182,
v:EQDcEgFpXCk,video,Guatemala: Gobierno refuerza lucha contra las pandillas en medio de crisis de seguridad,0,0,FRANCE 24 Español,News & Politics,5459,
v:EZfm-05qtWo,video,Municipalidad de Guatemala prepara plan de actividades en Semana Santa 2023,0,0,Cucurucho en Guatemala,People & Blogs,128,
v:F72Rdq5crG4,video,Cambios en el Ministerio de Comunicaciones: Salen Lizzette Benítez y Adrián Zapata Alamilla,0,0,Canal Antigua,News & Politics,1441,
v:FEc1BCuBiDg,video,¡Estamos con ustedes!,0,0,Municipalidad de Guatemala,News & Politics,1562,
v:FQP4JTo9ShA,video,Rafael Carrera y el nacimiento de Guatemala,0,0,MundoHistoria,Education,1420,
v:FU5zLTb4inc,video,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,0,Diario de Centro América,News & Politics,549,
v:Fapc1-8m5Zc,video,Municipalidad de Guatemala 21/11/2025,0,0,Concejales de Oposición - Muni Guate,People & Blogs,282,
v:Fb2Ccfq5S9w,video,Reo y su esposa fueron asesinados dentro del Preventivo de zona 18,0,0,TN23 Guatemala,News & Politics,15431,
v:FuTz67jS7m0,video,124 nuevos brigadas refuerzan la seguridad vial en Guatemala,0,0,PROVIAL-CIV,Education,45,
v:G2u4Rbq7zU4,video,Arévalo anuncia nueva cárcel de máxima seguridad en Guatemala,0,0,TN23 Guatemala,News & Politics,6327,
v:GgU7qhmf020,video,Sueños GT: educación para la niñez de vendedores ambulantes en Antigua | Super - Episodio 1,0,0,Quorum,Nonprofits & Activism,167,
v:GjGMSFSE1gY,video,"“Gracias a dios, no hay reelección” 🤡",0,0,Quorum,News & Politics,130,
v:HMJXf1VdM5E,video,Lluvia inusual de Martes Santo provoca inundaciones en zona 1 de Villa Nueva,0,0,PrensaLibreOficial,News & Politics,1688,
