source,target,peso,author_channel_id,video_id,autor,video
a:UCJxJC56BSAX-ArD0NAb9qnQ,v:3Nfp9h5avBI,1,UCJxJC56BSAX-ArD0NAb9qnQ,3Nfp9h5avBI,@alfonsowilian9157,"Noticiero en Directo 1 pm, 28 de Agosto de 2026"
a:UCKDR0f2fu2UzWL8mBv5-BHw,v:n8iP75gIpmw,1,UCKDR0f2fu2UzWL8mBv5-BHw,n8iP75gIpmw,@mireyamorales6595,Qué rico come tu diputado
a:UCKVzDUqbtdSMBcexaEtMmzQ,v:TT4qJ5FXHYE,1,UCKVzDUqbtdSMBcexaEtMmzQ,TT4qJ5FXHYE,@rotorairgroup8409,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres."
a:UCL13XhnRzbGokEkCkEOb0-g,v:n8iP75gIpmw,2,UCL13XhnRzbGokEkCkEOb0-g,n8iP75gIpmw,@raquelprado3643,Qué rico come tu diputado
a:UCL1MT278vSaQ83ZDkVWn1gw,v:n8iP75gIpmw,1,UCL1MT278vSaQ83ZDkVWn1gw,n8iP75gIpmw,@elmorodriguez6978,Qué rico come tu diputado
a:UCLFdHr9BEbXHkoJopbEPLZw,v:n8iP75gIpmw,2,UCLFdHr9BEbXHkoJopbEPLZw,n8iP75gIpmw,@kanterra4584,Qué rico come tu diputado
a:UCLXYp1Cvc5DLtq5UQL5D9vw,v:06mFNPU0aB8,1,UCLXYp1Cvc5DLtq5UQL5D9vw,06mFNPU0aB8,@jorgecifuentes-m5g,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
a:UCLggDc_a5HriXv7I1h02sOA,v:n8iP75gIpmw,2,UCLggDc_a5HriXv7I1h02sOA,n8iP75gIpmw,@guillermogonzalez5153,Qué rico come tu diputado
a:UCLh1Kde4_vI1sTZBkTNP7RQ,v:is3Mk5oC19g,1,UCLh1Kde4_vI1sTZBkTNP7RQ,is3Mk5oC19g,@JoelReynoso-d4r,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu
a:UCN2N_wYOw6fMwCeSzdXLPIw,v:PjmxCj-a9Hg,1,UCN2N_wYOw6fMwCeSzdXLPIw,PjmxCj-a9Hg,@danielantoniogonzalezflore4901,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
a:UCN6qbfPSzFtjhqUDZ3Cv3CQ,v:n8iP75gIpmw,1,UCN6qbfPSzFtjhqUDZ3Cv3CQ,n8iP75gIpmw,@carlosmedranovelasquez6380,Qué rico come tu diputado
a:UCNBnKqWf4d-rS4HwJRQljmQ,v:n8iP75gIpmw,2,UCNBnKqWf4d-rS4HwJRQljmQ,n8iP75gIpmw,@LE_A22,Qué rico come tu diputado
