channel_id,channel_name,videos,comentarios,autores,visualizaciones,autores_unicos
UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,18,256,220,31267,214
UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,32,70,51,56052,50
UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,27,25,25,452548,25
UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,2,25,18,77449,18
UCVpSRoZgngfSL03Nlbjtq9A,Noti7,3,14,13,78000,13
UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,17,7,7,424888,7
UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,7,7,7,67950,7
UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,2,2,2,5411,2
UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,1,0,0,8190449,0
UCDfEVbDrimcKw5lfbps915g,De todo Gt,5,0,0,4627528,0
UCVbOEcs6RMxXXX3WWNtl_Fw,El Mapa de Sebas,1,0,0,749356,0
UCKZ0c9xQAIokTOf4iPJd5jw,Ambient Sound Explorer,1,0,0,330057,0
UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,10,0,0,329798,0
UCh4GjKBcqxOsL_Bt8gCCSLg,Gobierno de Guatemala,2,0,0,306117,0
UC6Y7Hk0Otm2xeX1WoHOQp6Q,Nostalgia Latina,1,0,0,222656,0
UCo1g4EQqLwMO9RqEv1rCUpQ,Crónica Panamericana,2,0,0,197681,0
UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,14,0,0,141661,0
UCUdOoVWuWmgo1wByzcsyKDQ,FRANCE 24 Español,2,0,0,140708,0
UCZyaNecz9ugVReNcNfXXurA,Aventuras de una programadora,1,0,0,134775,0
UCYaMaLJVbMlLwpPACbxPUuQ,Alan Delmonte,1,0,0,108616,0
UC70eD0hNEwDNAfNlqfRWlGA,Welcome to el Mundo,1,0,0,104869,0
UCBedZZFhxFcMudI8oM5joSQ,PaulinoG,1,0,0,96794,0
UCkXkEfAaEGxUaIT6TBBkwMw,One Life,2,0,0,71254,0
UC-YGRGi0FeIA5441bGlHOPw,audioschileros,1,0,0,70811,0
UCH4M_4Ed6SUidQthmZ60M2g,Manuel Pedrero,1,0,0,62941,0
UCP1YKuLnn1WhzrkxCv1LILQ,Fortuna Latina,1,0,0,58881,0
UC_Lj2naQPP8vmyDu-AEOo-w,Nuestro Mundo,1,0,0,55349,0
UC_lEiu6917IJz03TnntWUaQ,CNN en Español,2,0,0,41466,0
UCGSQ821fpPy-yXL9mUmKbBg,TanGente Podcast,3,0,0,37978,0
UCoVACVT8WitFTc_Ok5yhYlg,Tras la Verdad SV,1,0,0,36701,0
UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,2,0,0,32831,0
UCN5tcDI7z6vN9s3p3n_JtoQ,Jorge Ramos,1,0,0,31357,0
UC-DpoeBbCMOMOH1-j71KPqA,México Poder,1,0,0,29736,0
UCaFyLdpZa60tkGfjOsznHSg,AlcaldexAccidente,1,0,0,29419,0
UCKu8ZkS9vriCetFagAGIMXA,VIVA GUATEMALA,1,0,0,27111,0
UC-rcR68a-aLwAnszxTG4--A,Panda 01,1,0,0,25431,0
UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,2,0,0,17160,0
UC8mJT9xUcwgEM1vaMaruysw,República TV,1,0,0,16786,0
UC2EbdGoJZwR_WvkmB0i4rMg,Alexis Burelo,1,0,0,15747,0
UCLXHie0velori7_dqu8w_bQ,Presidencia de la República,1,0,0,15726,0
UCTClcvXaWXGeZheUQFTQLRw,Gente de Guate,1,0,0,15482,0
UCInL6HZez6Qn8IHV8Achhxw,Carlos Pineda,2,0,0,11847,0
UCmzHLdcizBNiyN5t2mEPp3A,Tráfico Sin Censura,1,0,0,8502,0
UCHBzKtCUFwHuKFGD3bEHexQ,Entre Caminos,1,0,0,8098,0
UCDvpZGLyno6g-bi-wwYq4wQ,Somos El Combo,1,0,0,7340,0
UCzwR2o8LFAgAMfO0KIcFh0A,CANALES ROBOS Y MENTIRAS 💰🧐,2,0,0,7105,0
UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,3,0,0,7046,0
UClivsn4u-h1uJkORB6PD9SQ,Vittor Blogs,1,0,0,6682,0
UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,3,0,0,6498,0
UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,11,0,0,5881,0
UCeMAsS36ZiA56ZNtS8VSuOg,Un Angel Viajando,1,0,0,5298,0
UCquHy3UnphbYGF62_j6W_yQ,Mosca Visión,1,0,0,5262,0
UCT4Jg8h03dD0iN3Pb5L0PMA,DW Español,1,0,0,5171,0
UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,11,0,0,4769,0
UCmoP9Lvc92Bsl4Vu90kv9GQ,InfoGT Noticias,1,0,0,4725,0
UCnbd_gs8-e1CQ6izIYtnSig,PROVIAL GUATEMALA,1,0,0,4419,0
UCCM52vmXEcGzRlYyjP47PPg,Chris & Grace,1,0,0,3897,0
UC1B5-Dun1FHWae_rIJdfhow,Ahora Yose,1,0,0,3631,0
UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,5,0,0,3305,0
UC_nkMVSKgO9PeEaZ3LbPodg,21KMuniGuate,1,0,0,3110,0
